ID,CASE,순번,절차,테스트 데이터,시험일자,시험결과,Y/N,결함/이상 내용
UT-PRJ-006,"프로젝트·초대·역할
관련 기능: 초대 수락·거절·취소(PRJ-002-2~3, PRJ-004-2)
대상: Invitation 상태 전이",6,PENDING에서 ACCEPTED·REJECTED·CANCELLED로 가는 상태 전이를 각각 시험한다.,초대 3건,,"예상: 각 최종 상태와 멤버 생성 여부가 계약과 일치한다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-PRJ-007,"프로젝트·초대·역할
관련 기능: 멤버 역할 변경(PRJ-004-3)
대상: role 변경",7,역할 변경 직후 허용 동작이 바뀌는지 시험한다.,EDITOR→VIEWER,,"예상: 변경 직후 편집 API가 403이다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-PRJ-008,"프로젝트·초대·역할
관련 기능: 멤버 제외(PRJ-004-4)
대상: 멤버 삭제·접근 차단",8,제외된 멤버가 즉시 프로젝트 데이터에 접근할 수 없는지 시험한다.,프로젝트 멤버 1명,,"예상: 제외 후 모든 프로젝트 API가 404다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-PRJ-009,"프로젝트·초대·역할
관련 기능: 프로젝트 삭제(PRJ-003-3)
대상: cascade 삭제",9,문서·태스크가 있는 프로젝트 삭제 시 하위 데이터 정리를 시험한다.,하위 문서·태스크 포함 프로젝트,,"예상: 프로젝트와 하위 데이터가 함께 정리된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-DOC-001,"업로드·추출
관련 기능: 파일 업로드(DOC-001)
대상: 비동기 업로드 서비스",1,업로드 요청이 추출기를 직접 실행하지 않고 PENDING 문서를 만드는지 검증한다.,정상 파일,2026-09-07,"예상: PENDING 문서가 생성되고 extractor는 호출되지 않는다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_async_document_processing.py::test_upload_creates_pending_document_without_running_extractor
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DOC-002,"업로드·추출
관련 기능: 비동기 처리(DOC-003-2)
대상: worker 성공 경로",2,worker가 문서를 EXTRACTED로 전이하는지 검증한다.,PENDING 문서,2026-09-07,"예상: 추출텍스트 저장 후 EXTRACTED가 된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_async_document_processing.py::test_worker_moves_document_to_extracted
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DOC-003,"업로드·추출
관련 기능: 비동기 처리(DOC-003-2)
대상: worker 실패 경로",3,추출 실패 원인과 FAILED 상태를 저장하는지 검증한다.,추출기 예외,2026-09-07,"예상: FAILED와 processing_error가 저장된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_async_document_processing.py::test_worker_records_failure_reason
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DOC-004,"업로드·추출
관련 기능: 실패 재시도(BAT-002-2)
대상: 재처리 준비",4,FAILED 문서를 재시도 가능한 상태로 돌리는지 검증한다.,FAILED 문서,2026-09-07,"예상: 오류가 초기화되고 다시 큐에 넣을 수 있다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_async_document_processing.py::test_failed_document_can_be_prepared_for_retry
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DOC-005,"업로드·추출
관련 기능: 중복 파일 검사(DOC-001)
대상: SHA-256 프로젝트 범위",5,다른 프로젝트의 같은 파일은 허용하고 같은 프로젝트 중복만 차단하는지 검증한다.,동일 해시·서로 다른 프로젝트,2026-09-07,"예상: 중복 판정이 요청 프로젝트 안에서만 적용된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_document_duplicate_upload.py::test_duplicate_check_is_scoped_to_requested_project
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DOC-006,"업로드·추출
관련 기능: 문서 글자 제한(DOC-001)
대상: DOCX native text 제한",6,DOCX 원문이 제한을 넘으면 이미지 OCR 전에 차단되는지 검증한다.,제한 초과 DOCX,2026-09-07,"예상: DOCUMENT_TEXT_TOO_LARGE가 발생한다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_document_text_limit.py::test_docx_rejects_native_text_before_image_ocr
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DOC-007,"업로드·추출
관련 기능: 추출 전략(DOC-002)
대상: PDF AUTO 전략",7,희소 텍스트와 큰 스캔 이미지 조합에서 전체 페이지 OCR을 선택하는지 검증한다.,희소 텍스트 레이어 PDF,2026-09-07,"예상: full-page OCR 전략을 선택한다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_extraction_strategy.py::test_large_scanned_page_with_sparse_text_layer_runs_full_page_ocr
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DOC-008,"업로드·추출
관련 기능: 문서 유형 지정(DOC-004-2)
대상: document_type 정규화",8,7종 유형만 허용하고 입력을 정규화하는지 검증한다.,정상·미지원 유형,2026-09-07,"예상: 정상 유형만 표준 enum 값으로 저장된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_extraction_strategy.py::test_document_type_is_normalized_and_validated
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DOC-009,"업로드·추출
관련 기능: 파일 업로드 안전성(DOC-001)
대상: multipart API 경계",9,지원 형식·20MB·빈 파일·확장자 위장·경로 조작 파일명을 API 수준에서 시험한다.,PDF·DOCX·HWPX·JPG·PNG 및 오류 파일,,"예상: 유효 파일만 저장되고 오류별 코드가 구분된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-DOC-010,"업로드·추출
관련 기능: 문서 목록·필터(DOC-004-1)
대상: frontend 21건 페이징",10,문서 21건에서 2페이지 이동과 필터 변경 시 page 초기화를 자동화한다.,문서 21건·size 20,,"예상: 1페이지 20건, 2페이지 1건이며 URL page가 유지된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-REV-001,"OCR 검수
관련 기능: OCR 일괄 수정(REV-002)
대상: batch schema",1,부분 필드 수정 요청을 허용하는지 검증한다.,text만 포함한 변경,2026-09-07,"예상: 유효한 부분 수정으로 파싱된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ocr_batch_schema.py::test_batch_request_accepts_partial_updates
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-REV-002,"OCR 검수
관련 기능: 박스 이동·크기 조정(REV-002-2)
대상: geometry schema",2,잘못된 좌표를 스키마에서 차단하는지 검증한다.,음수·역전 좌표,2026-09-07,"예상: 422 validation 오류다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ocr_batch_schema.py::test_batch_request_rejects_invalid_geometry
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-REV-003,"OCR 검수
관련 기능: 읽기 순서 변경(REV-003-2)
대상: 추가 박스 정렬",3,새 박스가 좌표 순서에 맞게 본문과 reading_order에 삽입되는지 검증한다.,기존 2박스 사이 좌표,2026-09-07,"예상: 본문·reading_order 모두 중간에 삽입된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_document_service_reading_order.py::test_added_box_is_inserted_by_coordinates_in_text_and_reading_order
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-REV-004,"OCR 검수
관련 기능: 읽기 순서 변경(REV-003-2)
대상: 2단 문서 정렬",4,2단 페이지가 열 우선으로 읽히는지 검증한다.,좌·우 2단 요소,2026-09-07,"예상: 왼쪽 열 전체 뒤 오른쪽 열 순서다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ocr_reading_order.py::test_true_two_column_paragraphs_keep_column_first_order
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-REV-005,"OCR 검수
관련 기능: 표 구조 보존(REV-003-3)
대상: table metadata",5,표 행 구조 메타데이터가 청킹까지 보존되는지 검증한다.,표 OCR 요소,2026-09-07,"예상: 행·열 구조 메타데이터가 응답에 남는다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ocr_element_structure.py::test_table_rows_keep_structure_metadata
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-REV-006,"OCR 검수
관련 기능: 동시 수정 충돌 방지(REV-004-4)
대상: version lock",6,잠근 행을 읽은 뒤 version을 비교하는지 검증한다.,같은 요소의 오래된 version,2026-09-07,"예상: 오래된 요청은 충돌로 거부된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ocr_review_integrity.py::test_update_ocr_element_checks_version_after_loading_locked_rows
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-REV-007,"OCR 검수
관련 기능: 일괄 수정 원자성(REV-002)
대상: batch rollback",7,한 항목이 stale이면 전체 수정이 롤백되는지 검증한다.,정상 1건·stale 1건,2026-09-07,"예상: 두 항목 모두 변경되지 않는다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ocr_review_integrity.py::test_batch_update_rolls_back_all_items_on_stale_version
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-REV-008,"OCR 검수
관련 기능: 검수 후 재인덱싱(RAG-001-3)
대상: stale marking",8,단락 변경이 text_version을 한 번 올리고 청크를 stale로 표시하는지 검증한다.,paragraph 변경,2026-09-07,"예상: 버전은 1회 증가하고 stale 표시가 남는다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ocr_review_integrity.py::test_batch_paragraph_change_marks_chunks_stale_once
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-REV-009,"OCR 검수
관련 기능: 페이지 이미지 정규화(REV-001-1)
대상: EXIF orientation",9,OCR과 검수 이미지가 같은 EXIF 정규화 결과를 쓰는지 검증한다.,회전 EXIF 이미지,2026-09-07,"예상: OCR 좌표와 검수 이미지 방향이 일치한다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ocr_image_normalization.py::test_image_extractor_uses_exif_normalized_image_for_ocr_and_review
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-REV-010,"OCR 검수
관련 기능: OCR 박스 표시(REV-001-1)
대상: frontend review canvas",10,확대·축소 후 이미지와 박스 좌표가 일치하는 UI 시험을 추가한다.,스캔 문서·zoom 50/100/200%,,"예상: 모든 배율에서 박스가 같은 문자를 감싼다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-REV-011,"OCR 검수
관련 기능: 박스 생성·삭제·복원(REV-002-3, REV-004-3)
대상: 검수 UI·API",11,박스 생성·분석 제외·복원 후 본문 재조립을 시험한다.,OCR 요소 3건,,"예상: 현재 포함 요소만 순서대로 본문에 반영된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-REV-012,"OCR 검수
관련 기능: 선택 영역 재OCR(REV-002-5)
대상: 재OCR 확인 흐름",12,재OCR 결과를 사용자가 확인하기 전 원문을 덮지 않는지 시험한다.,선택 영역 1건,,"예상: 확인 전 기존 값 유지, 확인 후 새 값 반영이다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-REV-013,"OCR 검수
관련 기능: 검수 완료 처리(REV-004-1)
대상: complete API→청킹 큐",13,검수 완료가 확정 텍스트 저장과 재청킹 enqueue를 연결하는 API 시험을 추가한다.,수정 완료 문서,,"예상: 확정 리비전 저장 뒤 build_chunks 작업이 큐에 등록된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AI-001,"AI·결정·일정
관련 기능: 문서 요약(ANL-001-1)
대상: summary validator",1,형식이 틀린 요약을 raw text로 저장하지 않는지 검증한다.,깨진 JSON 응답,2026-09-07,"예상: AI_INVALID_RESPONSE이며 결과를 저장하지 않는다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ai_analysis.py::test_invalid_summary_is_not_saved_as_raw_text
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AI-002,"AI·결정·일정
관련 기능: 문서 요약(ANL-001-1)
대상: evidence grounding",2,원문에 없는 인용을 가진 요약 전체를 실패시키는지 검증한다.,조작된 source_quote,2026-09-07,"예상: 무근거 요약이 저장되지 않는다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ai_analysis.py::test_invented_quote_fails_whole_summary
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AI-003,"AI·결정·일정
관련 기능: 일정·기한 추출(ANL-002-3)
대상: 날짜 후보 선별",3,원문 날짜가 없으면 모델을 호출하지 않는지 검증한다.,날짜 없는 본문,2026-09-07,"예상: 빈 일정 결과이며 모델 호출 0회다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ai_analysis.py::test_날짜가_없으면_모델을_아예_부르지_않는다
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AI-004,"AI·결정·일정
관련 기능: 일정·기한 추출(ANL-002-3)
대상: 날짜 ID 검증",4,후보 목록 밖 날짜 ID를 선택할 수 없는지 검증한다.,존재하지 않는 date ID,2026-09-07,"예상: AI_INVALID_RESPONSE다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ai_analysis.py::test_목록에_없는_날짜는_고를_수_없다
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AI-005,"AI·결정·일정
관련 기능: 문서 유형 분류(ANL-001-2)
대상: 7종 category contract",5,현재 범위 7종 코드만 허용하는지 검증한다.,7종 정상 코드,2026-09-07,"예상: 모든 코드가 계약 스키마를 통과한다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_ai_analysis.py::test_new_document_classification_contract_has_seven_types
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AI-006,"AI·결정·일정
관련 기능: 재분석 실행(DOC-006-2)
대상: source snapshot",6,worker 시작 전에 원문이 바뀌면 모델을 호출하지 않는지 검증한다.,enqueue 후 text_version 변경,2026-09-07,"예상: ANALYSIS_SOURCE_CHANGED이며 호출 0회다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_analysis_jobs.py::test_changed_source_before_worker_does_not_call_model
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AI-007,"AI·결정·일정
관련 기능: 분석 진행률(ANL-003-1)
대상: partial job",7,한 분석기 실패 시 성공 결과를 저장하고 job을 PARTIAL로 만드는지 검증한다.,성공 분석기+실패 분석기,2026-09-07,"예상: 성공 결과는 저장되고 상태는 PARTIAL이다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_analysis_jobs.py::test_failed_analyzer_saves_successful_results_as_partial
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AI-008,"AI·결정·일정
관련 기능: 결정사항 추출·검토(ANL-002-2)
대상: 결정 review API",8,PENDING 결정의 승인·수정·거절·취소 상태 전이를 API 수준에서 시험한다.,결정 후보 4건,,"예상: 각 review_decision·결정자·시각이 정확히 저장된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AI-009,"AI·결정·일정
관련 기능: 일정·기한 추출·검토(ANL-002-3)
대상: 일정 review API",9,PENDING 일정의 승인·수정·거절·취소 상태 전이를 API 수준에서 시험한다.,일정 후보 4건,,"예상: 승인 상태만 하류 집계에 포함된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AI-010,"AI·결정·일정
관련 기능: 분석 진행률(ANL-003-1)
대상: frontend job polling",10,분석기 추가·PARTIAL·FAILED 상태를 화면이 동적으로 표시하는 시험을 추가한다.,COMPLETED·PARTIAL·FAILED job,,"예상: 분석기 수를 하드코딩하지 않고 상태를 표시한다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AI-011,"AI·결정·일정
관련 기능: 로컬 sLLM 경로(SYS-003-3)
대상: Docker→Ollama schema",11,실제 Docker worker에서 Ollama 구조화 출력과 오류 코드를 통합 시험한다.,정상 JSON·schema 오류·연결 실패,,"예상: 정상 저장, schema 오류 AI_INVALID_RESPONSE, 연결 실패 AI_PROVIDER_ERROR다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-TSK-001,"액션 아이템·태스크
관련 기능: 액션 아이템 추출(ANL-002-1)
대상: 분석 대상 scope",1,계약 계열 문서에서만 기본 액션 분석기가 도는지 검증한다.,계약·회의록 문서,2026-09-07,"예상: 계약에서 실행되고 비대상 유형에서는 호출하지 않는다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_action_task_scope.py::test_계약_계열이면_돈다
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-TSK-002,"액션 아이템·태스크
관련 기능: 액션 아이템 추출(ANL-002-1)
대상: grounded candidate",2,원문 후보에 근거한 항목만 결과로 반환하는지 검증한다.,실제 후보+모델 조작 후보,2026-09-07,"예상: 실제 후보만 남는다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_action_task_suggestions.py::test_action_analyzer_only_returns_grounded_candidates
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-TSK-003,"액션 아이템·태스크
관련 기능: 액션 아이템 추출(ANL-002-1)
대상: 빈 후보 short-circuit",3,후보가 없으면 모델을 호출하지 않는지 검증한다.,액션 문장 없는 본문,2026-09-07,"예상: 빈 결과와 모델 호출 0회다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_action_task_suggestions.py::test_no_action_candidate_skips_model_call
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-TSK-004,"액션 아이템·태스크
관련 기능: AI 제안 교체(TSK-002)
대상: PENDING replace",4,같은 분석기의 미검토 후보만 재분석 결과로 교체하는지 검증한다.,기존 PENDING·APPROVED 후보,2026-09-07,"예상: PENDING만 교체되고 검토 완료 후보는 보존된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_task_suggestion_replace.py::test_같은_분석기의_미검토_후보는_교체된다
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-TSK-005,"액션 아이템·태스크
관련 기능: AI 제안 승인(TSK-002-1)
대상: 승인→Task transaction",5,승인 트랜잭션이 AI_APPROVED 태스크를 정확히 한 건 만드는 API 시험을 추가한다.,PENDING 제안 1건,,"예상: 승인 상태와 Task 생성이 함께 커밋된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-TSK-006,"액션 아이템·태스크
관련 기능: AI 제안 거절(TSK-002-2)
대상: 거절·취소 UI",6,거절 후 보드에 나타나지 않고 거절 목록과 결정자 정보가 남는지 시험한다.,PENDING 제안 1건,,"예상: Task는 생기지 않고 REJECTED 이력이 표시된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AMT-001,"금액
관련 기능: 금액 항목 추출(AMT-001-1)
대상: strict JSON parser",1,정상 JSON을 정규화해 계약 스키마로 반환하는지 검증한다.,문자열 숫자가 포함된 정상 JSON,2026-09-07,"예상: 정규화된 AmountExtractionOut이다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_parser_writer.py::test_parser_normalizes_valid_json_and_accepts_ai_result
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-002,"금액
관련 기능: 금액 항목 추출(AMT-001-1)
대상: JSON 형식 검증",2,코드펜스·잘못된 root·NaN·Infinity를 거부하는지 검증한다.,비표준 JSON 세트,2026-09-07,"예상: 모두 AI_INVALID_RESPONSE다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_parser_writer.py::test_parser_rejects_code_fence_malformed_root_and_nonstandard_json
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
